State,State Code,District,Party,Candidate,Incumbent,Votes,Pct%,Elected,Won Party
Illinois,IL,17th,Democratic,Sorensen,/,119601,51.80%,TRUE,Democratic
Illinois,IL,17th,Republician,King,/,111457,48.20%,FALSE,Democratic
Indiana,IN,1st,Democratic,Mrvan,Incumbent,112539,52.80%,TRUE,Democratic
Indiana,IN,1st,Republician,Green,/,100486,47.20%,FALSE,Democratic
Indiana,IN,2nd,Republician,Yakym,/,125222,64.60%,TRUE,Republician
Indiana,IN,2nd,Democratic,Steury,/,62726,32.40%,FALSE,Republician
Indiana,IN,2nd,Libertarian Party,Henry,/,5782,3.00%,FALSE,Republician
Indiana,IN,2nd,Republician,Yakym,/,118650,63.50%,FALSE,Republician
Indiana,IN,2nd,Democratic,Steury,/,62547,33.50%,FALSE,Republician
Indiana,IN,2nd,Libertarian Party,Henry,/,5588,3.00%,FALSE,Republician
Indiana,IN,3rd,Republician,Banks,Incumbent,131252,65.30%,TRUE,Republician
Indiana,IN,3rd,Democratic,Snyder,/,60312,30.00%,FALSE,Republician
Indiana,IN,3rd,Independent Party,Gotsch,/,9354,4.70%,FALSE,Republician
Indiana,IN,4th,Republician,Baird,Incumbent,134442,68.20%,TRUE,Republician
Indiana,IN,4th,Democratic,Day,/,62668,31.80%,FALSE,Republician
Indiana,IN,5th,Republician,Spartz,Incumbent,146496,61.10%,TRUE,Republician
Indiana,IN,5th,Democratic,Lake,/,93373,38.90%,FALSE,Republician
Indiana,IN,6th,Republician,Pence,Incumbent,130482,67.50%,TRUE,Republician
Indiana,IN,6th,Democratic,Wirth,/,62743,32.50%,FALSE,Republician
Indiana,IN,7th,Democratic,Carson,Incumbent,116870,66.90%,TRUE,Democratic
Indiana,IN,7th,Republician,Grabovsky,/,53487,30.60%,FALSE,Democratic
Indiana,IN,7th,Libertarian Party,Maple,/,4227,2.40%,FALSE,Democratic
Indiana,IN,8th,Republician,Bucshon,Incumbent,141746,65.70%,TRUE,Republician
Indiana,IN,8th,Democratic,McCormick,/,67947,31.50%,FALSE,Republician
Indiana,IN,8th,Libertarian Party,Horning,/,5930,2.80%,FALSE,Republician
Indiana,IN,9th,Republician,Houchin,/,138765,62.90%,TRUE,Republician
Indiana,IN,9th,Democratic,Fyfe,/,75631,34.30%,FALSE,Republician
Indiana,IN,9th,Libertarian Party,Millis,/,6370,2.90%,FALSE,Republician
Iowa,IA,1st,Republician,Miller-Meeks,Incumbent,162947,53.40%,TRUE,Republician
Iowa,IA,1st,Democratic,Bohannan,/,142223,46.60%,FALSE,Republician
Iowa,IA,2nd,Republician,Hinson,Incumbent,172167,54.10%,TRUE,Republician
Iowa,IA,2nd,Democratic,Mathis,/,145930,45.90%,FALSE,Republician
Iowa,IA,3rd,Republician,Nunn,/,156261,50.30%,TRUE,Republician
Iowa,IA,3rd,Democratic,Axne,Incumbent,154117,49.70%,FALSE,Republician
Iowa,IA,4th,Republician,Feenstra,Incumbent,186467,67.40%,TRUE,Republician
Iowa,IA,4th,Democratic,Melton,/,84229,30.40%,FALSE,Republician
Iowa,IA,4th,Other Party,Holder,/,6035,2.20%,FALSE,Republician
Kansas,KS,1st,Republician,Mann,Incumbent,159258,67.80%,TRUE,Republician
Kansas,KS,1st,Democratic,Beard,/,75726,32.20%,FALSE,Republician
Kansas,KS,2nd,Republician,LaTurner,Incumbent,132765,57.60%,TRUE,Republician
Kansas,KS,2nd,Democratic,Schmidt,/,97580,42.40%,FALSE,Republician
Kansas,KS,3rd,Democratic,Davids,Incumbent,163138,54.90%,TRUE,Democratic
Kansas,KS,3rd,Republician,Adkins,/,127164,42.80%,FALSE,Democratic
Kansas,KS,3rd,Libertarian Party,Hohe,/,6803,2.30%,FALSE,Democratic
Kansas,KS,4th,Republician,Estes,Incumbent,142863,63.50%,TRUE,Republician
Kansas,KS,4th,Democratic,Hernandez,/,82138,36.50%,FALSE,Republician
Kentucky,KY,1st,Republician,Comer,Incumbent,184103,74.90%,TRUE,Republician
Kentucky,KY,1st,Democratic,Ausbrooks,/,61693,25.10%,FALSE,Republician
Kentucky,KY,2nd,Republician,Guthrie,Incumbent,170486,71.90%,TRUE,Republician
Kentucky,KY,2nd,Democratic,Linderman,/,66767,28.10%,FALSE,Republician
Kentucky,KY,3rd,Democratic,McGarvey,/,160853,62.00%,TRUE,Democratic
Kentucky,KY,3rd,Republician,Ray,/,98622,38.00%,FALSE,Democratic
Kentucky,KY,4th,Republician,Massie,Incumbent,167541,65.00%,TRUE,Republician
Kentucky,KY,4th,Democratic,Lehman,/,79977,31.00%,FALSE,Republician
Kentucky,KY,4th,Independent Party,Osborne,/,10111,3.90%,FALSE,Republician
Kentucky,KY,5th,Republician,Rogers,Incumbent,177714,82.20%,TRUE,Republician
Kentucky,KY,5th,Democratic,Halbleib,/,38549,17.80%,FALSE,Republician
Kentucky,KY,6th,Republician,Barr,Incumbent,154760,65.10%,TRUE,Republician
Kentucky,KY,6th,Democratic,Young,/,83003,34.90%,FALSE,Republician
Louisiana,LA,1st,Republician,Scalise,Incumbent,177642,72.80%,TRUE,Republician
Louisiana,LA,1st,Democratic,Darling,/,61458,25.20%,FALSE,Republician
Louisiana,LA,1st,Libertarian Party,Kearney,/,4906,2.00%,FALSE,Republician
Louisiana,LA,2nd,Democratic,Carter,Incumbent,158120,77.10%,TRUE,Democratic
Louisiana,LA,2nd,Republician,Lux,/,46926,22.90%,FALSE,Democratic
Louisiana,LA,3rd,Republician,Higgins,Incumbent,144423,64.30%,TRUE,Republician
Louisiana,LA,3rd,Republician,Hoggatt,/,24474,10.90%,FALSE,Republician
Louisiana,LA,3rd,Democratic,LeBlanc,/,23641,10.50%,FALSE,Republician
Louisiana,LA,3rd,Democratic,LeBrun,/,21172,9.40%,FALSE,Republician
Louisiana,LA,3rd,Republician,Payne,/,4012,1.80%,FALSE,Republician
Louisiana,LA,3rd,Independent Party,Wiggins,/,3255,1.40%,FALSE,Republician
Louisiana,LA,3rd,Republician,Shaheen,/,1955,0.90%,FALSE,Republician
Louisiana,LA,3rd,Libertarian Party,McLendon,/,1620,0.70%,FALSE,Republician
Louisiana,LA,4th,Republician,Johnson,Incumbent,0,0%,TRUE,Republician
Louisiana,LA,5th,Republician,Letlow,Incumbent,151080,67.60%,TRUE,Republician
Louisiana,LA,5th,Democratic,Dantzler,/,35149,15.70%,FALSE,Republician
Louisiana,LA,5th,Democratic,Huff,/,19383,8.70%,FALSE,Republician
Louisiana,LA,5th,Republician,Guillory,/,12159,5.40%,FALSE,Republician
Louisiana,LA,5th,Republician,Pullen,/,5782,2.60%,FALSE,Republician
Louisiana,LA,6th,Republician,Graves,Incumbent,189684,80.40%,TRUE,Republician
Louisiana,LA,6th,Libertarian Party,Craig,/,30709,13.00%,FALSE,Republician
Louisiana,LA,6th,Republician,Belzer,/,15535,6.60%,FALSE,Republician
Maine,ME,1st,Democratic,Pingree,Incumbent,218630,62.80%,TRUE,Democratic
Maine,ME,1st,Republician,Thelander,/,128996,37.10%,FALSE,Democratic
Maine,ME,1st,Other Party,Total Write-Ins,/,362,0.10%,FALSE,Democratic
Maine,ME,2nd,Democratic,Golden,Incumbent,165136,53.10%,TRUE,Democratic
Maine,ME,2nd,Republician,Poliquin,/,146142,46.90%,FALSE,Democratic
Maine,ME,2nd,Independent Party,Bond,/,0,0.00%,FALSE,Democratic
Maryland,MD,1st,Republician,Harris,Incumbent,159673,54.50%,TRUE,Republician
Maryland,MD,1st,Democratic,Mizeur,/,126511,43.20%,FALSE,Republician
Maryland,MD,1st,Libertarian Party,Thibeault,/,6924,2.40%,FALSE,Republician
Maryland,MD,2nd,Democratic,Ruppersberger,Incumbent,159000,59.30%,TRUE,Democratic
Maryland,MD,2nd,Republician,Ambrose,/,109081,40.70%,FALSE,Democratic
Maryland,MD,3rd,Democratic,Sarbanes,Incumbent,175514,60.20%,TRUE,Democratic
Maryland,MD,3rd,Republician,Morgan,/,115801,39.80%,FALSE,Democratic
Maryland,MD,4th,Democratic,Ivey,/,144204,90.30%,TRUE,Democratic
Maryland,MD,4th,Republician,Warner,/,15441,9.70%,FALSE,Democratic
Maryland,MD,5th,Democratic,Hoyer,Incumbent,182478,66.00%,TRUE,Democratic
Maryland,MD,5th,Republician,Palombi,/,94000,34.00%,FALSE,Democratic
Maryland,MD,6th,Democratic,Trone,Incumbent,140295,54.80%,TRUE,Democratic
Maryland,MD,6th,Republician,Parrott,/,115771,45.20%,FALSE,Democratic
Maryland,MD,7th,Democratic,Mfume,Incumbent,151640,82.20%,TRUE,Democratic
Maryland,MD,7th,Republician,Collier,/,32737,17.80%,FALSE,Democratic
Maryland,MD,8th,Democratic,Raskin,Incumbent,211842,80.30%,TRUE,Democratic
Maryland,MD,8th,Republician,Coll,/,47965,18.20%,FALSE,Democratic
Maryland,MD,8th,Libertarian Party,Garcia,/,4125,1.60%,FALSE,Democratic
Massachusetts,MA,1st,Democratic,Neal,Incumbent,153402,61.40%,TRUE,Democratic
Massachusetts,MA,1st,Republician,Martilli,/,96499,38.60%,FALSE,Democratic
Massachusetts,MA,2nd,Democratic,McGovern,Incumbent,178472,66.20%,TRUE,Democratic
Massachusetts,MA,2nd,Republician,Sossa-Paquette,/,91100,33.80%,FALSE,Democratic
Massachusetts,MA,3rd,Democratic,Trahan,Incumbent,145507,63.80%,TRUE,Democratic
Massachusetts,MA,3rd,Republician,Tran,/,82628,36.20%,FALSE,Democratic
Massachusetts,MA,4th,Democratic,Auchincloss,Incumbent,0,0%,TRUE,Democratic
Massachusetts,MA,5th,Democratic,Clark,Incumbent,198617,73.80%,TRUE,Democratic
Massachusetts,MA,5th,Republician,Colarusso,/,70694,26.20%,FALSE,Democratic
Massachusetts,MA,6th,Democratic,Moulton,Incumbent,190062,62.70%,TRUE,Democratic
Massachusetts,MA,6th,Republician,May,/,107496,35.40%,FALSE,Democratic
Massachusetts,MA,6th,Libertarian Party,Tashjian,/,5727,1.90%,FALSE,Democratic
Massachusetts,MA,7th,Democratic,Pressley,Incumbent,144902,84.50%,TRUE,Democratic
Massachusetts,MA,7th,Republician,Palmer,/,26481,15.50%,FALSE,Democratic
Massachusetts,MA,8th,Democratic,Lynch,Incumbent,184084,69.50%,TRUE,Democratic
Massachusetts,MA,8th,Republician,Burke,/,80961,30.50%,FALSE,Democratic
Massachusetts,MA,9th,Democratic,Keating,Incumbent,193426,59.40%,TRUE,Democratic
Massachusetts,MA,9th,Republician,Brown,/,131936,40.60%,FALSE,Democratic
Michigan,MI,1st,Republician,Bergman,Incumbent,231652,59.90%,TRUE,Republician
Michigan,MI,1st,Democratic,Lorinser,/,144952,37.50%,FALSE,Republician
Michigan,MI,1st,Other Party,Hakola,/,5480,1.40%,FALSE,Republician
Michigan,MI,1st,Libertarian Party,Gale,/,4569,1.20%,FALSE,Republician
Michigan,MI,2nd,Republician,Moolenaar,Incumbent,215092,63.70%,TRUE,Republician
Michigan,MI,2nd,Democratic,Hilliard,/,115710,34.30%,FALSE,Republician
Michigan,MI,2nd,Libertarian Party,Hewer,/,6818,2.00%,FALSE,Republician
Michigan,MI,3rd,Democratic,Scholten,/,186109,54.80%,TRUE,Democratic
Michigan,MI,3rd,Republician,Gibbs,/,142321,41.90%,FALSE,Democratic
Michigan,MI,3rd,Libertarian Party,Lewis,/,6718,2.00%,FALSE,Democratic
Michigan,MI,3rd,Other Party,Palus,/,4192,1.20%,FALSE,Democratic
Michigan,MI,4th,Republician,Huizenga,Incumbent,185778,54.40%,TRUE,Republician
Michigan,MI,4th,Democratic,Alfonso,/,145041,42.50%,FALSE,Republician
Michigan,MI,4th,Libertarian Party,Wenke,/,8525,2.50%,FALSE,Republician
Michigan,MI,4th,Other Party,Clark,/,2260,0.70%,FALSE,Republician
Michigan,MI,5th,Republician,Walberg,Incumbent,196498,62.50%,TRUE,Republician
Michigan,MI,5th,Democratic,Goldberg,/,109549,34.90%,FALSE,Republician
Michigan,MI,5th,Libertarian Party,Peterson,/,5089,1.60%,FALSE,Republician
Michigan,MI,5th,Other Party,Scott,/,3116,1.00%,FALSE,Republician
Michigan,MI,6th,Democratic,Dingell,Incumbent,241763,65.90%,TRUE,Democratic
Michigan,MI,6th,Republician,Williams,/,125168,34.10%,FALSE,Democratic
Michigan,MI,7th,Democratic,Slotkin,Incumbent,192828,51.70%,TRUE,Democratic
Michigan,MI,7th,Republician,Barrett,/,172619,46.30%,FALSE,Democratic
Michigan,MI,7th,Libertarian Party,Dailey,/,7276,2.00%,FALSE,Democratic
Michigan,MI,8th,Democratic,Kildee,Incumbent,178318,53.10%,TRUE,Democratic
Michigan,MI,8th,Republician,Junge,/,143845,42.80%,FALSE,Democratic
Michigan,MI,8th,Other Party,Goodwin,/,9077,2.70%,FALSE,Democratic
Michigan,MI,8th,Libertarian Party,Canny,/,4580,1.40%,FALSE,Democratic
Michigan,MI,9th,Republician,McClain,Incumbent,238289,63.90%,TRUE,Republician
Michigan,MI,9th,Democratic,Jaye,/,123692,33.20%,FALSE,Republician
Michigan,MI,9th,Other Party,Walkowicz,/,6570,1.80%,FALSE,Republician
Michigan,MI,9th,Libertarian Party,Kelts,/,4349,1.20%,FALSE,Republician
Michigan,MI,10th,Republician,James,/,159203,48.80%,TRUE,Republician
Michigan,MI,10th,Democratic,Marlinga,/,157602,48.30%,FALSE,Republician
Michigan,MI,10th,Other Party,Kirby,/,5905,1.80%,FALSE,Republician
Michigan,MI,10th,Libertarian Party,Saliba,/,3524,1.10%,FALSE,Republician
Michigan,MI,11th,Democratic,Stevens,Incumbent,224080,61.30%,TRUE,Democratic
Michigan,MI,11th,Republician,Ambrose,/,141312,38.70%,FALSE,Democratic
Michigan,MI,12th,Democratic,Tlaib,Incumbent,196601,70.80%,TRUE,Democratic
Michigan,MI,12th,Republician,Elliott,/,72889,26.30%,FALSE,Democratic
Michigan,MI,12th,Other Party,Walkowicz,/,8046,2.90%,FALSE,Democratic
Michigan,MI,13th,Democratic,Thanedar,/,166203,71.10%,TRUE,Democratic
Michigan,MI,13th,Republician,Bivings,/,56111,24.00%,FALSE,Democratic
Michigan,MI,13th,Other Party,Coleman,/,8811,3.80%,FALSE,Democratic
Michigan,MI,13th,Other Party,Dardzinski,/,2763,1.20%,FALSE,Democratic
Minnesota,MN,1st,Republician,Finstad,Incumbent,159621,53.90%,TRUE,Republician
Minnesota,MN,1st,Democratic,Ettinger,/,125457,42.30%,FALSE,Republician
Minnesota,MN,1st,Other Party,Reisdorf,/,6389,2.20%,FALSE,Republician
Minnesota,MN,1st,Other Party,Abrahamson,/,4943,1.70%,FALSE,Republician
Minnesota,MN,2nd,Democratic,Craig,Incumbent,165583,51.00%,TRUE,Democratic
Minnesota,MN,2nd,Republician,Kistner,/,148576,45.70%,FALSE,Democratic
Minnesota,MN,2nd,Other Party,Overby,/,10728,3.30%,FALSE,Democratic
Minnesota,MN,3rd,Democratic,Phillips,Incumbent,198883,59.60%,TRUE,Democratic
Minnesota,MN,3rd,Republician,Weiler,/,134797,40.40%,FALSE,Democratic
Minnesota,MN,4th,Democratic,McCollum,Incumbent,200055,67.70%,TRUE,Democratic
Minnesota,MN,4th,Republician,Xiong,/,95493,32.30%,FALSE,Democratic
Minnesota,MN,5th,Democratic,Omar,Incumbent,214224,75.20%,TRUE,Democratic
Minnesota,MN,5th,Republician,Davis,/,70702,24.80%,FALSE,Democratic
Minnesota,MN,6th,Republician,Emmer,Incumbent,198145,62.10%,TRUE,Republician
Minnesota,MN,6th,Democratic,Hendricks,/,120852,37.90%,FALSE,Republician
Minnesota,MN,7th,Republician,Fischbach,Incumbent,204766,67.00%,TRUE,Republician
Minnesota,MN,7th,Democratic,Abahsain,/,84455,27.60%,FALSE,Republician
Minnesota,MN,7th,Other Party,Johnson,/,16421,5.40%,FALSE,Republician
Minnesota,MN,8th,Republician,Stauber,Incumbent,188755,57.20%,TRUE,Republician
Minnesota,MN,8th,Democratic,Schultz,/,141009,42.80%,FALSE,Republician
Mississippi,MS,1st,Republician,Kelly,Incumbent,122152,73.00%,TRUE,Republician
Mississippi,MS,1st,Democratic,Black,/,45238,27.00%,FALSE,Republician
Mississippi,MS,2nd,Democratic,Thompson,Incumbent,108285,60.10%,TRUE,Democratic
Mississippi,MS,2nd,Republician,Flowers,/,71884,39.90%,FALSE,Democratic
Mississippi,MS,3rd,Republician,Guest,Incumbent,132481,70.70%,TRUE,Republician
Mississippi,MS,3rd,Democratic,Young,/,54803,29.30%,FALSE,Republician
Mississippi,MS,4th,Republician,Ezell,/,127813,73.30%,TRUE,Republician
Mississippi,MS,4th,Democratic,DuPree,/,42876,24.60%,FALSE,Republician
Mississippi,MS,4th,Libertarian Party,Johnson,/,3569,2.00%,FALSE,Republician
Missouri,MO,1st,Democratic,Bush,Incumbent,160042,72.80%,TRUE,Democratic
Missouri,MO,1st,Republician,Jones,/,53572,24.40%,FALSE,Democratic
Missouri,MO,1st,Libertarian Party,Zsidisin,/,6166,2.80%,FALSE,Democratic
Missouri,MO,2nd,Republician,Wagner,Incumbent,173035,54.90%,TRUE,Republician
Missouri,MO,2nd,Democratic,Gunby,/,135639,43.00%,FALSE,Republician
Missouri,MO,2nd,Libertarian Party,Slantz,/,6486,2.10%,FALSE,Republician
Missouri,MO,3rd,Republician,Luetkemeyer,Incumbent,180358,65.20%,TRUE,Republician
Missouri,MO,3rd,Democratic,Mann,/,96465,34.80%,FALSE,Republician
Missouri,MO,4th,Republician,Alford,/,181023,71.30%,TRUE,Republician
Missouri,MO,4th,Democratic,Truman,/,66671,26.30%,FALSE,Republician
Missouri,MO,4th,Libertarian Party,Langkraehr,/,6090,2.40%,FALSE,Republician
Missouri,MO,5th,Democratic,Cleaver,Incumbent,139882,60.90%,TRUE,Democratic
Missouri,MO,5th,Republician,Turk,/,83794,36.50%,FALSE,Democratic
Missouri,MO,5th,Libertarian Party,Dominick,/,5830,2.50%,FALSE,Democratic
Missouri,MO,6th,Republician,Graves,Incumbent,184070,70.30%,TRUE,Republician
Missouri,MO,6th,Democratic,Martin,/,71939,27.50%,FALSE,Republician
Missouri,MO,6th,Libertarian Party,Maidment,/,5745,2.20%,FALSE,Republician
Missouri,MO,7th,Republician,Burlison,/,177957,70.90%,TRUE,Republician
Missouri,MO,7th,Democratic,Radaker-Sheafer,/,67082,26.70%,FALSE,Republician
Missouri,MO,7th,Libertarian Party,Craig,/,5839,2.30%,FALSE,Republician
Missouri,MO,8th,Republician,Smith,Incumbent,186259,76.00%,TRUE,Republician
Missouri,MO,8th,Democratic,McCallian,/,53661,21.90%,FALSE,Republician
Missouri,MO,8th,Libertarian Party,Higgins,/,5175,2.10%,FALSE,Republician
Montana,MT,1st,Republician,Zinke,/,123102,49.60%,TRUE,Republician
Montana,MT,1st,Democratic,Tranel,/,115265,46.50%,FALSE,Republician
Montana,MT,1st,Libertarian Party,Lamb,/,9593,3.90%,FALSE,Republician
Montana,MT,2nd,Republician,Rosendale,Incumbent,121979,56.60%,TRUE,Republician
Montana,MT,2nd,Independent Party,Buchanan,/,47195,21.90%,FALSE,Republician
Montana,MT,2nd,Democratic,Ronning,/,43480,20.20%,FALSE,Republician
Montana,MT,2nd,Libertarian Party,Rankin,/,3018,1.40%,FALSE,Republician
Nebraska,NE,1st,Republician,Flood,Incumbent,127671,58.10%,TRUE,Republician
Nebraska,NE,1st,Democratic,Pansing Brooks,/,91940,41.90%,FALSE,Republician
Nebraska,NE,2nd,Republician,Bacon,Incumbent,111388,51.50%,TRUE,Republician
Nebraska,NE,2nd,Democratic,Vargas,/,104868,48.50%,FALSE,Republician
Nebraska,NE,3rd,Republician,Smith,Incumbent,171967,78.30%,TRUE,Republician
Nebraska,NE,3rd,Democratic,Else,/,34703,15.80%,FALSE,Republician
Nebraska,NE,3rd,Other Party,Elworth,/,12915,5.90%,FALSE,Republician
Nevada,NV,1st,Democratic,Titus,Incumbent,114916,51.60%,TRUE,Democratic
Nevada,NV,1st,Republician,Robertson,/,102355,45.90%,FALSE,Democratic
Nevada,NV,1st,Libertarian Party,Cavanaugh,/,5502,2.50%,FALSE,Democratic
Nevada,NV,2nd,Republician,Amodei,Incumbent,181689,59.70%,TRUE,Republician
Nevada,NV,2nd,Democratic,Krause,/,115186,37.90%,FALSE,Republician
Nevada,NV,2nd,Other Party,Best,/,4076,1.30%,FALSE,Republician
Nevada,NV,2nd,Libertarian Party,Baber,/,3351,1.10%,FALSE,Republician
Nevada,NV,3rd,Democratic,Lee,Incumbent,130237,52.00%,TRUE,Democratic
Nevada,NV,3rd,Republician,Becker,/,120102,48.00%,FALSE,Democratic
Nevada,NV,4th,Democratic,Horsford,Incumbent,115836,52.40%,TRUE,Democratic
Nevada,NV,4th,Republician,Peters,/,105037,47.60%,FALSE,Democratic
New Hampshire,NH,1st,Democratic,Pappas,Incumbent,166852,54.00%,TRUE,Democratic
New Hampshire,NH,1st,Republician,Leavitt,/,141899,46.00%,FALSE,Democratic
New Hampshire,NH,2nd,Democratic,McLane Kuster,Incumbent,171733,55.90%,TRUE,Democratic
New Hampshire,NH,2nd,Republician,Burns,/,135567,44.10%,FALSE,Democratic
New Jersey,NJ,1st,Democratic,Norcross,Incumbent,139559,62.30%,TRUE,Democratic
New Jersey,NJ,1st,Republician,Gustafson,/,78794,35.20%,FALSE,Democratic
New Jersey,NJ,1st,Independent Party,Kline,/,3343,1.50%,FALSE,Democratic
New Jersey,NJ,1st,Independent Party,Fletcher,/,1546,0.70%,FALSE,Democratic
New Jersey,NJ,1st,Independent Party,Cannon,/,642,0.30%,FALSE,Democratic
New Jersey,NJ,2nd,Republician,Van Drew,Incumbent,139216,58.90%,TRUE,Republician
New Jersey,NJ,2nd,Democratic,Alexander,/,94521,40.00%,FALSE,Republician
New Jersey,NJ,2nd,Independent Party,Gallo,/,1825,0.80%,FALSE,Republician
New Jersey,NJ,2nd,Independent Party,Sanchez,/,920,0.40%,FALSE,Republician
New Jersey,NJ,3rd,Democratic,Kim,Incumbent,150497,55.50%,TRUE,Democratic
New Jersey,NJ,3rd,Republician,Healey,/,118413,43.60%,FALSE,Democratic
New Jersey,NJ,3rd,Independent Party,Russomanno,/,1347,0.50%,FALSE,Democratic
New Jersey,NJ,3rd,Independent Party,Sobocinski,/,1116,0.40%,FALSE,Democratic
New Jersey,NJ,4th,Republician,Smith,Incumbent,173288,66.90%,TRUE,Republician
New Jersey,NJ,4th,Democratic,Jenkins,/,81233,31.40%,FALSE,Republician
New Jersey,NJ,4th,Independent Party,Cullen,/,1902,0.70%,FALSE,Republician
New Jersey,NJ,4th,Independent Party,Schmidt,/,1197,0.50%,FALSE,Republician
New Jersey,NJ,4th,Independent Party,Schroeder,/,905,0.30%,FALSE,Republician
New Jersey,NJ,4th,Independent Party,Daniels,/,437,0.20%,FALSE,Republician
New Jersey,NJ,5th,Democratic,Gottheimer,Incumbent,145559,54.70%,TRUE,Democratic
New Jersey,NJ,5th,Republician,Pallotta,/,117873,44.30%,FALSE,Democratic
New Jersey,NJ,5th,Independent Party,Marcus,/,1193,0.40%,FALSE,Democratic
New Jersey,NJ,5th,Independent Party,Ferrigno,/,700,0.30%,FALSE,Democratic
New Jersey,NJ,5th,Independent Party,Vellucci,/,618,0.20%,FALSE,Democratic
New Jersey,NJ,6th,Democratic,Pallone,Incumbent,106238,57.50%,TRUE,Democratic
New Jersey,NJ,6th,Republician,Kiley,/,75839,41.00%,FALSE,Democratic
New Jersey,NJ,6th,Independent Party,Fisher,/,1361,0.70%,FALSE,Democratic
New Jersey,NJ,6th,Independent Party,Soni,/,947,0.50%,FALSE,Democratic
New Jersey,NJ,6th,Independent Party,Antisell,/,534,0.30%,FALSE,Democratic
New Jersey,NJ,7th,Republician,Kean Jr.,/,159392,51.40%,TRUE,Republician
New Jersey,NJ,7th,Democratic,Malinowski,Incumbent,150701,48.60%,FALSE,Republician
New Jersey,NJ,8th,Democratic,Menendez,/,78371,73.60%,TRUE,Democratic
New Jersey,NJ,8th,Republician,Arroyo,/,24956,23.40%,FALSE,Democratic
New Jersey,NJ,8th,Independent Party,Kuniansky,/,1016,1.00%,FALSE,Democratic
New Jersey,NJ,8th,Independent Party,Delaney,/,758,0.70%,FALSE,Democratic
New Jersey,NJ,8th,Independent Party,Cook,/,714,0.70%,FALSE,Democratic
New Jersey,NJ,8th,Independent Party,Olivera,/,399,0.40%,FALSE,Democratic
New Jersey,NJ,8th,Independent Party,Salierno,/,246,0.20%,FALSE,Democratic
New Jersey,NJ,9th,Democratic,Pascrell,Incumbent,82457,55.00%,TRUE,Democratic
New Jersey,NJ,9th,Republician,Prempeh,/,65365,43.60%,FALSE,Democratic
New Jersey,NJ,9th,Independent Party,Sherman,/,1108,0.70%,FALSE,Democratic
New Jersey,NJ,9th,Independent Party,Armstrong,/,1054,0.70%,FALSE,Democratic
New Jersey,NJ,10th,Democratic,Payne Jr.,Incumbent,100644,77.60%,TRUE,Democratic
New Jersey,NJ,10th,Republician,Pinckney,/,25984,20.00%,FALSE,Democratic
New Jersey,NJ,10th,Independent Party,Johnson,/,1989,1.50%,FALSE,Democratic
New Jersey,NJ,10th,Independent Party,Ludden,/,634,0.50%,FALSE,Democratic
New Jersey,NJ,10th,Independent Party,Childress,/,380,0.30%,FALSE,Democratic
New Jersey,NJ,11th,Democratic,Sherrill,Incumbent,161238,59.00%,TRUE,Democratic
New Jersey,NJ,11th,Republician,DeGroot,/,109944,40.20%,FALSE,Democratic
New Jersey,NJ,11th,Independent Party,Biasco,/,2276,0.80%,FALSE,Democratic
New Jersey,NJ,12th,Democratic,Watson Coleman,Incumbent,125127,63.10%,TRUE,Democratic
New Jersey,NJ,12th,Republician,Mayfield,/,71175,35.90%,FALSE,Democratic
New Jersey,NJ,12th,Independent Party,Genrich,/,1925,1.00%,FALSE,Democratic
New Mexico,NM,1st,Democratic,Stansbury,Incumbent,156386,55.80%,TRUE,Democratic
New Mexico,NM,1st,Republician,Garcia Holmes,/,124115,44.20%,FALSE,Democratic
New Mexico,NM,2nd,Democratic,Vasquez,/,96984,50.30%,TRUE,Democratic
New Mexico,NM,2nd,Republician,Herrell,Incumbent,95638,49.70%,FALSE,Democratic
New Mexico,NM,3rd,Democratic,Leger Fernandez,Incumbent,134195,58.20%,TRUE,Democratic
New Mexico,NM,3rd,Republician,Martinez Johnson,/,96560,41.80%,FALSE,Democratic
New York,NY,1st,Republician,LaLota,/,173275,55.90%,TRUE,Republician
New York,NY,1st,Democratic,Fleming,/,136899,44.10%,FALSE,Republician
New York,NY,2nd,Republician,Garbarino,Incumbent,148654,61.00%,TRUE,Republician
New York,NY,2nd,Democratic,Gordon,/,95217,39.00%,FALSE,Republician
New York,NY,3rd,Republician,Santos,/,142673,54.10%,TRUE,Republician
New York,NY,3rd,Democratic,Zimmerman,/,121094,45.90%,FALSE,Republician
New York,NY,4th,Republician,D'Esposito,/,139063,51.90%,TRUE,Republician
New York,NY,4th,Democratic,Gillen,/,129077,48.10%,FALSE,Republician
New York,NY,5th,Democratic,Meeks,Incumbent,97981,75.20%,TRUE,Democratic
New York,NY,5th,Republician,King,/,32393,24.80%,FALSE,Democratic
New York,NY,6th,Democratic,Meng,Incumbent,79506,63.30%,TRUE,Democratic
New York,NY,6th,Republician,Zmich,/,46188,36.70%,FALSE,Democratic
New York,NY,7th,Democratic,Velazquez,Incumbent,111968,80.50%,TRUE,Democratic
New York,NY,7th,Republician,Pagan,/,27142,19.50%,FALSE,Democratic
New York,NY,8th,Democratic,Jeffries,Incumbent,93295,72.40%,TRUE,Democratic
New York,NY,8th,Republician,Dashevsky,/,35486,27.60%,FALSE,Democratic
New York,NY,9th,Democratic,Clarke,Incumbent,111162,82.20%,TRUE,Democratic
New York,NY,9th,Other Party,Raitport,/,24143,17.80%,FALSE,Democratic
